-84,0.813,0.07065
-76,0.588,0.0594
-68,0.342,0.0471
-60,0.136,0.0368
-52,0.18,0.039
-44,0.113,0.03565
-36,0.058,0.0329
-28,0.14,0.037
-20,0.38,0.049
-12,0.59,0.0595
-4,0.82,0.071
4,0.82,0.071
12,0.59,0.0595
20,0.38,0.049
28,0.14,0.037
36,0.058,0.0329
44,0.113,0.03565
52,0.18,0.039
60,0.136,0.0368
68,0.342,0.0471
76,0.588,0.0594
84,0.813,0.07065
